Specific absorption coefficients (m2 mg-1) for six phytoplankton classes distributed with the Water Color Simulator 6 (WASI6) [1]:

0. phytoplankton:   typical mixture for Lake Constance calculated by Heege (2000) [2];
                    using phytoplankton absorption spectra1 and pigment data from 32 days in 1990 and 1991,
                    and he validated it using 139 irradiance reflectance and 278 attenuation measurements3 from 1990 to 1996 [1]
1. cryptophyta:     average of 20 samples from Lake Constance from March 2020; 
                    absorption was measured using an integrating sphere by Soppa et al. 2020 (unpublished); 
                    pigment concentrations were measured using HPLC by Dröscher (LUBW) [1]
2. cyanobacteria:   obtained from field measurements by Xi et al. 2017 [3] in the Baltic Sea during a bloom of cyanobacteria (most likely Nodularia sp.);
                    measurements were made by Röttgers et al. (HZG) on RV Ardana in 2010. Gege scaled their normalized spectrum to match at 440 nm the diatoms spectrum [1]
3. diatoms:         derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]
4. dinoflagellates: derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]
5. green algae:     derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Heege (2000): Flugzeuggestützte Fernerkundung von Wasserinhaltsstoffen am Bodensee. PhD thesis. DLR-Forschungsbericht 2000-40, 134 p.
[3] Xi et al. (2017): Phytoplankton group identification using simulated and in situ hyperspectral remote sensing reflectance. [10.3389/fmars.2017.00272]
[4] Gege (1994): Gewässeranalyse mit passiver Fernerkundung: Ein Modell zur Interpretation optischer Spektralmessungen. PhD thesis. DLR-Forschungsbericht 94-15, 171 p
[5] Gege (1995): Water analysis by remote sensing: A model for the interpretation of optical spectral measurements. Technical Translation ESA-TT-1324, 231 pp.
[6] Gege (1998): Correction of specular reflections at the water surface. Ocean Optics XIV, Conference Papers, Vol. 2.
[7] Gege (2013): Estimation of phytoplankton concentration from downwelling irradiance measurements in water. [10.1560/IJPS.60.1-2.193]

wavelength_nm,phytoplankton,cryptophyta,cyanobacteria,diatoms,dinoflagellates,green_algae
300,0,0,0,0,0,0
301,7.77E-06,0,0,0,0,0
302,3.09E-05,0,0,0,0,0
303,6.91E-05,0,0,0,0,0
304,0.000122,0,0,0,0,0
305,0.00019,0,0,0,0,0
306,0.000272,0,0,0,0,0
307,0.000367,0,0,0,0,0
308,0.000477,0,0,0,0,0
309,0.0006,0,0,0,0,0
310,0.000736,0,0,0,0,0
311,0.000885,0,0,0,0,0
312,0.001046,0,0,0,0,0
313,0.00122,0,0,0,0,0
314,0.001406,0,0,0,0,0
315,0.001604,0,0,0,0,0
316,0.001813,0,0,0,0,0
317,0.002033,0,0,0,0,0
318,0.002264,0,0,0,0,0
319,0.002506,0,0,0,0,0
320,0.002758,0,0,0,0,0
321,0.003021,0,0,0,0,0
322,0.003293,0,0,0,0,0
323,0.003575,0,0,0,0,0
324,0.003866,0,0,0,0,0
325,0.004166,0,0,0,0,0
326,0.004474,0,0,0,0,0
327,0.004792,0,0,0,0,0
328,0.005117,0,0,0,0,0
329,0.00545,0,0,0,0,0
330,0.005791,0,0,0,0,0
331,0.006139,0,0,0,0,0
332,0.006494,0,0,0,0,0
333,0.006856,0,0,0,0,0
334,0.007225,0,0,0,0,0
335,0.007599,0,0,0,0,0
336,0.00798,0,0,0,0,0
337,0.008366,0,0,0,0,0
338,0.008758,0,0,0,0,0
339,0.009155,0,0,0,0,0
340,0.009556,0,0,0,0,0
341,0.009963,0,0,0,0,0
342,0.010373,0,0,0,0,0
343,0.010788,0,0,0,0,0
344,0.011206,0,0,0,0,0
345,0.011627,0,0,0,0,0
346,0.012052,0,0,0,0,0
347,0.01248,0,0,0,0,0
348,0.01291,0,0,0,0,0
349,0.013343,0,0,0,0,0
350,0.013778,0,0,0,0,0
351,0.014214,0,0,0,0,0
352,0.014652,0,0,0,0,0
353,0.015092,0.009357,0,0,0,0
354,0.015532,0.009421,0,0,0,0
355,0.015973,0.00952,0,0,0,0
356,0.016414,0.009658,0,0,0,0
357,0.016855,0.009797,0,0,0,0
358,0.017297,0.00992,0,0,0,0
359,0.017738,0.010033,0,0,0,0
360,0.018178,0.010108,0,0,0,0
361,0.018617,0.010191,0,0,0,0
362,0.019055,0.01032,0,0,0,0
363,0.019491,0.010456,0,0,0,0
364,0.019926,0.010594,0,0,0,0
365,0.020358,0.010737,0,0,0,0
366,0.020789,0.010906,0,0,0,0
367,0.021216,0.011082,0,0,0,0
368,0.021641,0.011227,0,0,0,0
369,0.022062,0.011376,0,0,0,0
370,0.02248,0.011581,0,0,0,0
371,0.022894,0.011793,0,0,0,0
372,0.023304,0.011967,0,0,0,0
373,0.02371,0.012144,0,0,0,0
374,0.024111,0.012358,0,0,0,0
375,0.024508,0.012572,0,0,0,0
376,0.024899,0.012738,0,0,0,0
377,0.025285,0.012907,0,0,0,0
378,0.025665,0.013107,0,0,0,0
379,0.026039,0.013308,0,0,0,0
380,0.026407,0.0135,0.02097,0.016728882,0,0.013991
381,0.026768,0.01368,0.021313,0.017332442,0,0.014484
382,0.027123,0.01384,0.021656,0.017955436,0,0.014992
383,0.02747,0.013977,0.022,0.018598022,0,0.015516
384,0.02781,0.014097,0.022345,0.019258778,0,0.016055
385,0.028143,0.014217,0.02269,0.019936914,0,0.016608
386,0.028468,0.014347,0.023033,0.020629902,0,0.017174
387,0.028784,0.014475,0.023376,0.021335688,0.054017,0.017751
388,0.029092,0.014595,0.023719,0.022052376,0.054264,0.018338
389,0.029391,0.014711,0.024063,0.02277649,0.054521,0.018934
