Normalized backscattering coefficient of phytoplankton as distributed with the Water Color Simulator 6 (WASI6) [1]
obtained by fitting a measurement of b_b_phy(lambda) for green algae from Lake Garda in the range from 400 to 900 nm (Giardino, personal communication) 
and extrapolating the fit curve to the range from 350 to 1000 nm.

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.

wavelength_nm	bb_phy_norm	
350	1.768824641	
351	1.761773523	
352	1.754770452	
353	1.747814968	
354	1.740906613	
355	1.734044936	
356	1.727229491	
357	1.720459839	
358	1.713735545	
359	1.707056179	
360	1.700421317	
361	1.693830541	
362	1.687283436	
363	1.680779594	
364	1.674318611	
365	1.667900088	
366	1.66152363	
367	1.655188849	
368	1.648895359	
369	1.64264278	
370	1.636430737	
371	1.630258857	
372	1.624126775	
373	1.618034127	
374	1.611980555	
375	1.605965706	
376	1.599989229	
377	1.594050778	
378	1.588150011	
379	1.582286592	
380	1.576460184	
381	1.57067046	
382	1.564917091	
383	1.559199756	
384	1.553518136	
385	1.547871916	
386	1.542260783	
387	1.536684429	
388	1.531142551	
389	1.525634847	
390	1.520161019	
391	1.514720773	
392	1.509313818	
393	1.503939865	
394	1.49859863	
395	1.493289832	
396	1.488013192	
397	1.482768435	
398	1.477555289	
399	1.472373485	
400	1.467222756	
401	1.462102838	
402	1.457013472	
403	1.4519544	
404	1.446925367	
405	1.441926121	
406	1.436956413	
407	1.432015995	
408	1.427104625	
409	1.42222206	
410	1.417368062	
411	1.412542395	
412	1.407744825	
413	1.40297512	
414	1.398233053	
415	1.393518397	
416	1.388830927	
417	1.384170423	
418	1.379536664	
419	1.374929435	
420	1.370348521	
421	1.365793708	
422	1.361264787	
423	1.35676155	
424	1.352283791	
425	1.347831307	
426	1.343403895	
427	1.339001356	
428	1.334623493	
429	1.330270109	
430	1.325941013	
431	1.321636011	
432	1.317354915	
433	1.313097538	
434	1.308863692	
435	1.304653195	
436	1.300465864	
437	1.296301519	
438	1.292159983	
439	1.288041077	
440	1.283944629	
441	1.279870463	
442	1.27581841	
443	1.271788299	
444	1.267779963	
445	1.263793235	
446	1.259827951	
447	1.255883948	
448	1.251961063	
449	1.248059138	
450	1.244178014	
451	1.240317534	
452	1.236477543	
453	1.232657887	
454	1.228858415	
455	1.225078975	
456	1.221319418	
457	1.217579596	
458	1.213859363	
459	1.210158574	
460	1.206477085	
461	1.202814753	
462	1.199171438	
463	1.195547001	
464	1.191941303	
465	1.188354206	
466	1.184785576	
467	1.181235278	
468	1.177703179	
469	1.174189147	
470	1.170693052	
471	1.167214763	
472	1.163754153	
473	1.160311094	
474	1.156885462	
475	1.15347713	
476	1.150085977	
477	1.146711878	
478	1.143354714	
479	1.140014363	
480	1.136690707	
481	1.133383628	
482	1.130093009	
483	1.126818734	
484	1.123560688	
485	1.120318758	
486	1.117092831	
487	1.113882796	
488	1.11068854	
489	1.107509956	
490	1.104346934	
491	1.101199366	
492	1.098067147	
493	1.094950169	
494	1.091848328	
495	1.08876152	
496	1.085689643	
497	1.082632593	
498	1.079590271	
499	1.076562574	
500	1.073549405	
501	1.070550665	
502	1.067566256	
503	1.06459608	
504	1.061640043	
505	1.058698048	
506	1.055770002	
507	1.052855812	
508	1.049955383	
509	1.047068626	
510	1.044195447	
511	1.041335758	
512	1.038489468	
513	1.035656489	
514	1.032836733	
515	1.030030112	
516	1.02723654	
517	1.024455932	
518	1.021688202	
519	1.018933265	
520	1.016191039	
521	1.01346144	
522	1.010744386	
523	1.008039795	
524	1.005347587	
525	1.002667682	
526	1	
527	0.997344462	
528	0.99470099	
529	0.992069507	
530	0.989449935	
531	0.986842199	
532	0.984246222	
533	0.981661931	
534	0.979089249	
535	0.976528105	
536	0.973978424	
537	0.971440134	
538	0.968913163	
539	0.966397439	
540	0.963892893	
541	0.961399453	
542	0.95891705	
543	0.956445615	
544	0.953985079	
545	0.951535375	
546	0.949096435	
547	0.946668192	
548	0.944250579	
549	0.941843532	
550	0.939446984	
551	0.937060871	
552	0.934685129	
553	0.932319694	
554	0.929964502	
555	0.927619491	
556	0.925284599	
557	0.922959764	
558	0.920644925	
559	0.91834002	
560	0.91604499	
561	0.913759775	
562	0.911484316	
563	0.909218553	
564	0.906962428	
565	0.904715883	
566	0.902478861	
567	0.900251305	
568	0.898033157	
569	0.895824362	
570	0.893624864	
571	0.891434607	
572	0.889253537	
573	0.8870816	
574	0.88491874	
575	0.882764905	
576	0.880620041	
577	0.878484096	
578	0.876357016	
579	0.87423875	
580	0.872129247	
581	0.870028454	
582	0.867936322	
583	0.865852799	
584	0.863777835	
585	0.861711382	
586	0.859653389	
587	0.857603807	
588	0.855562588	
589	0.853529683	
590	0.851505045	
591	0.849488626	
592	0.84748038	
593	0.845480258	
594	0.843488214	
595	0.841504204	
596	0.839528179	
597	0.837560096	
598	0.835599909	
599	0.833647574	
600	0.831703045	
601	0.829766278	
602	0.82783723	
603	0.825915858	
604	0.824002118	
605	0.822095966	
606	0.820197362	
607	0.818306261	
608	0.816422624	
609	0.814546407	
610	0.812677569	
611	0.81081607	
612	0.808961868	
613	0.807114924	
614	0.805275196	
615	0.803442646	
616	0.801617233	
617	0.799798918	
618	0.797987662	
619	0.796183427	
620	0.794386173	
621	0.792595864	
622	0.79081246	
623	0.789035924	
624	0.787266218	
625	0.785503307	
626	0.783747151	
627	0.781997716	
628	0.780254964	
629	0.77851886	
630	0.776789368	
631	0.775066451	
632	0.773350075	
633	0.771640205	
634	0.769936805	
635	0.768239842	
636	0.76654928	
637	0.764865085	
638	0.763187224	
639	0.761515663	
640	0.759850368	
641	0.758191307	
642	0.756538445	
643	0.754891751	
644	0.753251192	
645	0.751616735	
646	0.749988349	
647	0.748366001	
648	0.74674966	
649	0.745139295	
650	0.743534873	
651	0.741936365	
652	0.740343739	
653	0.738756964	
654	0.737176011	
655	0.735600849	
656	0.734031448	
657	0.732467778	
658	0.73090981	
659	0.729357514	
660	0.727810861	
661	0.726269822	
662	0.724734368	
663	0.72320447	
664	0.721680101	
665	0.720161232	
666	0.718647834	
667	0.71713988	
668	0.715637343	
669	0.714140194	
670	0.712648406	
671	0.711161952	
672	0.709680806	
673	0.70820494	
674	0.706734328	
675	0.705268943	
676	0.703808759	
677	0.70235375	
678	0.70090389	
679	0.699459153	
680	0.698019514	
681	0.696584947	
682	0.695155427	
683	0.693730928	
684	0.692311426	
685	0.690896896	
686	0.689487314	
687	0.688082654	
688	0.686682893	
689	0.685288007	
690	0.68389797	
691	0.68251276	
692	0.681132353	
693	0.679756726	
694	0.678385854	
695	0.677019715	
696	0.675658285	
697	0.674301541	
698	0.672949462	
699	0.671602023	
700	0.670259203	
701	0.668920979	
702	0.667587329	
703	0.66625823	
704	0.664933661	
705	0.6636136	
706	0.662298026	
707	0.660986915	
708	0.659680248	
709	0.658378003	
710	0.657080159	
711	0.655786694	
712	0.654497588	
713	0.653212821	
714	0.65193237	
715	0.650656216	
716	0.649384339	
717	0.648116718	
718	0.646853332	
719	0.645594163	
720	0.64433919	
721	0.643088393	
722	0.641841753	
723	0.64059925	
724	0.639360864	
725	0.638126577	
726	0.636896369	
727	0.635670221	
728	0.634448114	
729	0.63323003	
730	0.632015949	
731	0.630805853	
732	0.629599723	
733	0.628397542	
734	0.62719929	
735	0.62600495	
736	0.624814503	
737	0.623627932	
738	0.622445219	
739	0.621266345	
740	0.620091294	
741	0.618920048	
742	0.617752589	
743	0.616588901	
744	0.615428965	
745	0.614272764	
746	0.613120283	
747	0.611971503	
748	0.610826408	
749	0.609684981	
750	0.608547206	
751	0.607413066	
752	0.606282545	
753	0.605155626	
754	0.604032293	
755	0.60291253	
756	0.601796321	
757	0.600683649	
758	0.5995745	
759	0.598468857	
760	0.597366705	
761	0.596268027	
762	0.595172809	
763	0.594081035	
764	0.59299269	
765	0.591907759	
766	0.590826225	
767	0.589748075	
768	0.588673294	
769	0.587601866	
770	0.586533776	
771	0.585469011	
772	0.584407555	
773	0.583349393	
774	0.582294512	
775	0.581242896	
776	0.580194533	
777	0.579149406	
778	0.578107503	
779	0.577068809	
780	0.57603331	
781	0.575000993	
782	0.573971842	
783	0.572945846	
784	0.571922989	
785	0.570903259	
786	0.569886642	
787	0.568873124	
788	0.567862693	
789	0.566855334	
790	0.565851034	
791	0.564849781	
792	0.563851562	
793	0.562856362	
794	0.56186417	
795	0.560874973	
796	0.559888757	
797	0.558905511	
798	0.557925221	
799	0.556947874	
800	0.555973459	
801	0.555001963	
802	0.554033373	
803	0.553067678	
804	0.552104864	
805	0.551144921	
806	0.550187835	
807	0.549233594	
808	0.548282187	
809	0.547333602	
810	0.546387827	
811	0.54544485	
812	0.54450466	
813	0.543567244	
814	0.542632592	
815	0.541700691	
816	0.54077153	
817	0.539845099	
818	0.538921384	
819	0.538000376	
820	0.537082063	
821	0.536166434	
822	0.535253477	
823	0.534343182	
824	0.533435538	
825	0.532530534	
826	0.531628158	
827	0.530728401	
828	0.529831251	
829	0.528936697	
830	0.52804473	
831	0.527155338	
832	0.526268511	
833	0.525384239	
834	0.52450251	
835	0.523623315	
836	0.522746644	
837	0.521872486	
838	0.521000831	
839	0.520131668	
840	0.519264989	
841	0.518400782	
842	0.517539037	
843	0.516679746	
844	0.515822897	
845	0.514968482	
846	0.51411649	
847	0.513266911	
848	0.512419736	
849	0.511574956	
850	0.51073256	
851	0.50989254	
852	0.509054885	
853	0.508219586	
854	0.507386634	
855	0.50655602	
856	0.505727734	
857	0.504901768	
858	0.504078111	
859	0.503256754	
860	0.50243769	
861	0.501620908	
862	0.500806399	
863	0.499994155	
864	0.499184167	
865	0.498376426	
866	0.497570923	
867	0.496767649	
868	0.495966595	
869	0.495167754	
870	0.494371115	
871	0.493576671	
872	0.492784414	
873	0.491994333	
874	0.491206422	
875	0.490420671	
876	0.489637073	
877	0.488855619	
878	0.4880763	
879	0.487299108	
880	0.486524036	
881	0.485751075	
882	0.484980216	
883	0.484211452	
884	0.483444775	
885	0.482680176	
886	0.481917649	
887	0.481157184	
888	0.480398773	
889	0.47964241	
890	0.478888086	
891	0.478135793	
892	0.477385524	
893	0.476637271	
894	0.475891026	
895	0.475146782	
896	0.474404531	
897	0.473664265	
898	0.472925978	
899	0.472189661	
900	0.471455307	
901	0.470722908	
902	0.469992458	
903	0.469263949	
904	0.468537374	
905	0.467812725	
906	0.467089995	
907	0.466369177	
908	0.465650264	
909	0.464933249	
910	0.464218124	
911	0.463504883	
912	0.462793519	
913	0.462084024	
914	0.461376391	
915	0.460670614	
916	0.459966687	
917	0.459264601	
918	0.45856435	
919	0.457865927	
920	0.457169326	
921	0.45647454	
922	0.455781562	
923	0.455090385	
924	0.454401004	
925	0.45371341	
926	0.453027599	
927	0.452343562	
928	0.451661295	
929	0.450980789	
930	0.450302039	
931	0.449625039	
932	0.448949781	
933	0.448276261	
934	0.44760447	
935	0.446934404	
936	0.446266055	
937	0.445599418	
938	0.444934486	
939	0.444271253	
940	0.443609713	
941	0.44294986	
942	0.442291688	
943	0.441635191	
944	0.440980362	
945	0.440327196	
946	0.439675687	
947	0.439025829	
948	0.438377615	
949	0.43773104	
950	0.437086099	
951	0.436442785	
952	0.435801092	
953	0.435161015	
954	0.434522548	
955	0.433885685	
956	0.43325042	
957	0.432616749	
958	0.431984664	
959	0.431354161	
960	0.430725234	
961	0.430097877	
962	0.429472085	
963	0.428847853	
964	0.428225174	
965	0.427604043	
966	0.426984456	
967	0.426366405	
968	0.425749887	
969	0.425134896	
970	0.424521425	
971	0.423909471	
972	0.423299028	
973	0.42269009	
974	0.422082652	
975	0.421476709	
976	0.420872255	
977	0.420269286	
978	0.419667797	
979	0.419067782	
980	0.418469236	
981	0.417872154	
982	0.417276531	
983	0.416682362	
984	0.416089641	
985	0.415498365	
986	0.414908528	
987	0.414320124	
988	0.41373315	
989	0.413147599	
990	0.412563468	
991	0.411980752	
992	0.411399444	
993	0.410819542	
994	0.410241039	
995	0.409663932	
996	0.409088215	
997	0.408513883	
998	0.407940932	
999	0.407369358	
