Temperature gradient of pure water absorption (m-1  degC-1)
after Roettgers et al. (2013) [1] as distributed with the Water Color Simulator 6 (WASI6) [2]

[1] Roettgers et al. (2013): Pure water spectral absorption, scattering, and real part of refractive index model.
                             Algorithm Theoretical Basis Document "The Water Optical Properties Processor (WOPP).
							 Distribution: Marc Bouvet, ESA/ESRIN
							 Revision 7, May 2013
[2] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.

wavelength_nm	daW/dT
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0.000013
380	0.000026
381	0.0000215
382	0.000017
383	0.0000075
384	-0.000002
385	-0.000008
386	-0.000014
387	-0.0000005
388	0.000013
389	0.000015
390	0.000017
391	0.00001
392	0.000003
393	0.0000005
394	-0.000002
395	-0.000004
396	-0.000006
397	-0.0000085
398	-0.000011
399	-0.0000095
400	-0.000008
401	-0.0000055
402	-0.000003
403	-0.000004
404	-0.000005
405	-0.0000095
406	-0.000014
407	-0.0000215
408	-0.000029
409	-0.0000295
410	-0.00003
411	-0.000024
412	-0.000018
413	-0.000012
414	-0.000006
415	-0.0000055
416	-0.000005
417	-0.0000105
418	-0.000016
419	-0.0000195
420	-0.000023
421	-0.0000245
422	-0.000026
423	-0.0000265
424	-0.000027
425	-0.00003
426	-0.000033
427	-0.0000345
428	-0.000036
429	-0.000035
430	-0.000034
431	-0.000031
432	-0.000028
433	-0.0000255
434	-0.000023
435	-0.000022
436	-0.000021
437	-0.00002
438	-0.000019
439	-0.0000195
440	-0.00002
441	-0.000019
442	-0.000018
443	-0.0000175
444	-0.000017
445	-0.0000165
446	-0.000016
447	-0.000014
448	-0.000012
449	-0.0000085
450	-0.000005
451	-0.000004
452	-0.000003
453	-0.000005
454	-0.000007
455	-0.0000105
456	-0.000014
457	-0.000015
458	-0.000016
459	-0.000016
460	-0.000016
461	-0.0000155
462	-0.000015
463	-0.0000165
464	-0.000018
465	-0.0000205
466	-0.000023
467	-0.000025
468	-0.000027
469	-0.000028
470	-0.000029
471	-0.000029
472	-0.000029
473	-0.000029
474	-0.000029
475	-0.0000285
476	-0.000028
477	-0.0000265
478	-0.000025
479	-0.0000255
480	-0.000026
481	-0.000027
482	-0.000028
483	-0.0000295
484	-0.000031
485	-0.000032
486	-0.000033
487	-0.000033
488	-0.000033
489	-0.0000325
490	-0.000032
491	-0.0000315
492	-0.000031
493	-0.0000295
494	-0.000028
495	-0.000025
496	-0.000022
497	-0.000019
498	-0.000016
499	-0.0000135
500	-0.000011
501	-0.000008
502	-0.000005
503	-0.000001
504	0.000003
505	0.0000085
506	0.000014
507	0.0000225
508	0.000031
509	0.0000425
510	0.000054
511	0.000066
512	0.000078
513	0.000086
514	0.000094
515	0.0000965
516	0.000099
517	0.000097
518	0.000095
519	0.0000885
520	0.000082
521	0.0000755
522	0.000069
523	0.000063
524	0.000057
525	0.0000505
526	0.000044
527	0.0000375
528	0.000031
529	0.0000245
530	0.000018
531	0.000012
532	0.000006
533	0.000001
534	-0.000004
535	-0.0000075
536	-0.000011
537	-0.0000135
538	-0.000016
539	-0.0000175
540	-0.000019
541	-0.0000215
542	-0.000024
543	-0.000027
544	-0.00003
545	-0.000032
546	-0.000034
